id,circuit_ref,name,lat,long,city_id,wikipedia_url
1,silverstone,Silverstone Circuit,52.0786,-1.01694,,https://en.wikipedia.org/wiki/Silverstone_Circuit
2,monaco,Circuit de Monaco,43.7347,7.42056,2992741,https://en.wikipedia.org/wiki/Circuit_de_Monaco
3,indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,4259418,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
4,bremgarten,Circuit Bremgarten,46.9589,7.40194,2661552,https://en.wikipedia.org/wiki/Circuit_Bremgarten
5,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
6,reims,Reims-Gueux,49.2542,3.93083,2984114,https://en.wikipedia.org/wiki/Reims-Gueux
7,monza,Autodromo Nazionale di Monza,45.6156,9.28111,3172629,https://en.wikipedia.org/wiki/Autodromo_Nazionale_di_Monza
8,nurburgring,Nurburgring,50.3356,6.9475,,https://en.wikipedia.org/wiki/N%C3%BCrburgring
9,pedralbes,Circuit de Pedralbes,41.3903,2.11667,3128760,https://en.wikipedia.org/wiki/Pedralbes_Circuit
10,essarts,Rouen-Les-Essarts,49.3306,1.00458,2982652,https://en.wikipedia.org/wiki/Rouen-Les-Essarts
11,zandvoort,Circuit Park Zandvoort,52.3888,4.54092,2744042,https://en.wikipedia.org/wiki/Circuit_Zandvoort
12,galvez,Autódromo Oscar y Juan Gálvez,-34.6943,-58.4593,3435910,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez
13,aintree,Aintree,53.4769,-2.94056,2644210,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
14,pescara,Pescara Circuit,42.475,14.1508,3171168,https://en.wikipedia.org/wiki/Pescara_Circuit
15,boavista,Circuito da Boavista,41.1705,-8.67325,,https://en.wikipedia.org/wiki/Circuito_da_Boavista
16,ain-diab,Ain Diab,33.5786,-7.6875,2553604,https://en.wikipedia.org/wiki/Ain-Diab_Circuit
17,avus,AVUS,52.4806,13.2514,2950159,https://en.wikipedia.org/wiki/AVUS
18,monsanto,Monsanto Park Circuit,38.7197,-9.20306,2267057,https://en.wikipedia.org/wiki/Circuito_de_Monsanto
19,sebring,Sebring International Raceway,27.4547,-81.3483,,https://en.wikipedia.org/wiki/Sebring_International_Raceway
20,riverside,Riverside International Raceway,33.937,-117.273,,https://en.wikipedia.org/wiki/Riverside_International_Raceway
21,watkins_glen,Watkins Glen,42.3369,-76.9272,,"https://en.wikipedia.org/wiki/Watkins_Glen_Grand_Prix_Course,_1948%E2%80%931952"
22,george,Prince George Circuit,-33.0486,27.8736,,https://en.wikipedia.org/wiki/Prince_George_Circuit
23,rodriguez,Autódromo Hermanos Rodríguez,19.4042,-99.0907,3530597,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
24,brands_hatch,Brands Hatch,51.3569,0.263056,,https://en.wikipedia.org/wiki/Brands_Hatch
25,zeltweg,Zeltweg,47.2039,14.7478,,https://en.wikipedia.org/wiki/Zeltweg_Air_Base
26,charade,Charade Circuit,45.7472,3.03889,3024635,https://en.wikipedia.org/wiki/Circuit_de_Charade
27,kyalami,Kyalami,-25.9894,28.0767,1105776,https://en.wikipedia.org/wiki/Kyalami
28,lemans,Le Mans,47.95,0.224231,3003603,https://en.wikipedia.org/wiki/Le_Mans
29,mosport,Mosport International Raceway,44.0481,-78.6756,,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park
30,jarama,Circuito de Madrid Jarama,40.6171,-3.58558,3117735,https://en.wikipedia.org/wiki/Circuito_del_Jarama
31,tremblant,Circuit Mont-Tremblant,46.1877,-74.6099,6325494,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
32,montjuic,Montjuïc circuit,41.3664,2.15167,3128760,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
33,hockenheimring,Hockenheimring,49.3278,8.56583,2902852,https://en.wikipedia.org/wiki/Hockenheimring
34,red_bull_ring,Red Bull Ring,47.2197,14.7647,,https://en.wikipedia.org/wiki/Red_Bull_Ring
35,ricard,Circuit Paul Ricard,43.2506,5.79167,,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard
36,nivelles,Nivelles-Baulers,50.6211,4.32694,2800866,https://en.wikipedia.org/wiki/Nivelles-Baulers
37,interlagos,Interlagos Circuit,-23.7036,-46.6997,,https://en.wikipedia.org/wiki/Interlagos_Circuit
38,zolder,Zolder,50.9894,5.25694,,https://en.wikipedia.org/wiki/Circuit_Zolder
39,anderstorp,Anderstorp Raceway,57.2653,13.6042,,https://en.wikipedia.org/wiki/Anderstorp_Raceway
