standing_id,constructor_id
3132,1
3133,9
3134,6
3135,10
3136,2
3137,4
3138,7
3139,3
3140,11
3141,12
3142,5
3143,13
3144,14
3145,15
3146,16
3147,17
3148,18
3149,19
3150,20
3151,8
3152,21
3153,22
3155,23
3156,1
3157,6
3158,9
3159,2
3160,26
3161,33
3162,27
3163,7
3164,11
3165,4
3166,3
3167,10
3168,24
3170,28
3171,5
3172,29
3173,30
3174,14
3175,25
3176,31
3177,32
3178,12
3179,23
3180,6
3181,28
3182,9
3183,4
3184,34
3185,8
3186,40
3187,12
3188,35
3189,24
3190,7
3191,25
3192,36
3193,5
3195,23
3196,15
3197,26
3198,32
3199,3
3200,37
3201,31
3202,10
3205,6
3206,4
3207,9
3208,34
3209,8
3210,40
3211,24
3212,15
3213,28
3214,25
3217,36
3218,27
3219,7
3221,38
3222,12
3223,23
3224,31
3225,39
3226,43
3227,6
3228,9
3229,44
3230,4
3231,28
3232,34
3233,45
3234,32
3235,46
3236,8
3237,40
3238,41
3239,27
3240,24
3241,29
3243,15
3244,42
3245,6
3246,4
3247,23
3248,9
3249,40
3250,41
3251,45
3252,34
3253,28
3254,12
3255,15
3256,8
3257,33
3259,62
3260,4
3261,45
3262,46
3263,6
3264,28
3265,9
3266,40
3267,8
3268,41
3269,12
3270,49
3271,33
3272,47
3273,23
3274,45
3275,6
3276,8
3277,33
3278,4
3279,48
3280,49
3281,40
3282,50
3283,6
3284,33
3285,48
3286,55
3287,51
3288,9
3289,49
3290,4
3291,56
3294,40
3295,63
3296,45
3297,50
3298,48
3299,6
3300,33
3301,51
3303,49
3304,57
3305,59
3306,55
3307,4
3308,63
3309,45
3310,6
3311,60
3312,49
3313,50
3314,33
3315,51
3319,65
3320,62
3321,61
3322,63
3324,33
3325,60
3326,50
3327,64
3328,49
3329,6
3330,67
3331,66
3332,62
3334,8
3335,91
3337,48
3339,65
3341,60
3342,33
3343,67
3344,6
3345,50
3346,71
3347,49
3348,66
3349,64
3351,69
3352,68
3353,91
3354,51
3355,88
3356,1
3358,70
3359,48
3361,6
3362,33
3363,60
3364,72
3365,50
3366,73
3367,71
3368,66
3369,77
3370,69
3372,49
3373,74
3374,60
3375,33
3376,72
3377,6
3378,50
3379,77
3380,73
3381,66
3382,74
3383,1
3384,75
3385,76
3386,51
3387,78
3388,6
3389,51
3390,33
3391,66
3392,60
3393,80
3394,77
3395,79
3396,72
3397,73
3398,81
3399,82
3400,86
3401,83
3402,78
3403,88
3404,51
3405,77
3406,6
3407,33
3408,86
3409,66
3410,50
3411,85
3412,72
3413,79
3414,74
3415,64
3416,84
3417,60
3418,80
3419,87
3421,89
3422,88
3423,79
3424,90
3425,6
3426,33
3427,77
3428,92
3429,78
3430,87
3431,85
3432,51
3433,86
3434,64
3435,95
3436,72
3437,91
3438,50
3439,90
3440,74
3441,88
3442,79
3443,33
3444,6
3445,51
3446,78
3448,80
3449,72
3450,48
3451,6
3452,93
3453,67
3454,79
3455,33
3456,87
3457,96
3459,70
3460,94
3462,94
3463,33
3464,97
3465,6
3466,88
3467,95
3468,87
3469,96
3470,67
3471,99
3472,98
3474,48
3475,94
3476,95
3477,6
3478,96
3479,93
3480,33
3481,87
3482,67
3483,102
3486,48
3487,94
3488,95
3489,67
3490,93
3491,6
3492,33
3493,101
3494,96
3495,100
3496,102
3497,112
3498,95
3499,6
3500,94
3501,48
3502,67
3503,103
3504,33
3505,101
3506,93
3507,100
3508,96
3509,64
3510,109
3511,104
3512,106
3514,112
3515,105
3516,6
3517,67
3518,95
3519,103
3520,94
3521,107
3522,48
3523,93
3524,108
3525,109
3526,111
3527,106
3528,112
3529,96
3530,33
3531,110
3532,64
3536,6
3537,95
