standing_id,driver_id
1,1
2,13
3,2
4,5
5,24
6,34
7,35
8,15
9,32
10,19
11,3
12,36
14,4
15,25
16,28
17,37
18,8
19,68
20,96
21,38
22,39
23,18
24,6
25,26
26,40
28,12
29,95
30,7
31,41
32,69
33,31
34,42
35,9
36,17
37,43
38,70
39,11
40,10
41,44
42,45
43,46
44,47
45,48
46,49
47,50
48,51
49,52
50,53
51,54
52,55
53,56
54,57
55,58
56,16
57,27
58,75
59,30
60,14
61,71
62,20
63,29
65,76
66,22
67,21
68,125
69,23
70,33
71,72
72,59
73,60
75,61
76,62
77,63
78,64
79,65
80,66
81,67
82,13
83,24
84,27
85,1
86,26
87,71
88,40
89,68
90,79
91,3
92,2
93,72
94,5
95,81
96,48
97,80
98,18
99,4
100,82
101,19
102,74
103,98
104,59
105,94
106,28
107,12
108,83
109,22
110,95
111,8
112,73
113,46
114,96
115,11
116,75
117,32
118,30
119,156
120,187
121,6
123,31
124,38
125,84
126,29
127,85
128,65
129,60
130,36
131,41
132,97
133,14
134,76
135,51
138,77
139,63
141,86
142,16
143,87
144,15
145,88
147,173
149,78
150,34
151,99
152,70
153,37
155,49
156,67
157,89
158,53
159,90
160,91
161,92
162,42
163,47
164,52
165,93
166,24
167,1
168,71
169,74
170,117
171,28
172,49
173,26
174,27
175,58
176,100
177,65
178,101
180,46
181,102
182,29
183,118
184,68
185,109
187,92
188,120
189,18
190,98
191,105
192,110
193,78
194,119
196,111
197,3
199,104
200,103
201,173
202,12
203,107
204,42
205,8
206,141
208,91
211,15
212,32
213,5
214,34
215,4
217,48
219,112
220,125
223,93
224,121
225,60
226,122
227,123
228,113
229,139
230,114
231,31
233,88
234,59
235,80
236,52
238,73
241,124
243,77
245,106
247,126
249,30
250,108
253,54
254,90
255,38
257,143
258,84
259,115
261,63
263,50
264,16
266,24
267,13
268,1
269,117
270,26
271,27
272,92
273,18
274,68
275,109
276,99
277,29
278,46
279,65
280,127
281,48
283,43
284,63
285,73
286,100
287,140
288,132
289,31
290,5
291,101
292,15
293,156
294,114
295,58
296,147
297,155
298,105
299,128
300,133
301,108
302,144
303,102
304,38
305,50
306,88
307,142
308,32
309,158
311,19
312,118
313,51
314,84
315,94
316,6
318,12
319,116
320,86
322,139
323,80
324,4
325,106
326,110
328,35
330,67
331,81
332,90
333,217
334,41
335,134
336,173
337,28
339,21
340,104
341,129
342,130
343,131
345,78
346,141
347,135
348,143
349,136
350,54
351,57
353,115
354,121
356,79
357,44
360,55
363,126
364,34
365,137
366,13
367,27
368,117
369,29
370,157
371,92
372,158
373,1
374,147
375,110
376,140
377,48
378,73
379,99
380,28
381,155
382,15
383,144
384,94
385,26
386,143
387,79
388,46
389,49
390,24
391,100
392,31
393,101
394,142
395,63
396,71
397,187
398,5
399,105
400,137
401,18
402,156
403,43
404,55
405,148
406,138
407,6
408,146
409,34
410,51
411,65
412,81
413,109
415,41
416,88
417,80
419,115
421,38
422,135
423,64
424,179
425,133
426,111
427,116
428,149
429,150
430,113
431,50
432,118
435,159
436,164
437,145
439,141
440,104
442,129
444,58
445,196
446,151
447,114
448,90
450,3
451,132
452,136
453,44
454,32
455,103
456,54
457,152
458,153
459,102
461,154
462,13
463,73
464,161
465,29
466,1
467,71
468,115
469,140
470,100
471,147
472,157
473,51
474,38
475,43
476,118
477,136
478,27
479,163
480,129
481,26
482,144
483,158
484,41
485,154
486,92
487,117
488,31
489,19
490,81
491,164
492,155
493,165
495,178
496,104
497,151
498,5
499,101
500,132
502,44
503,12
504,46
505,166
506,114
507,58
508,159
509,160
510,24
511,194
512,179
513,28
514,139
515,143
516,105
517,162
518,137
519,22
520,138
521,141
522,98
523,109
524,167
525,65
526,21
528,130
529,168
531,34
533,169
534,170
535,177
536,110
538,48
539,171
540,90
541,172
542,149
543,55
544,63
545,111
546,13
547,73
548,105
549,100
550,44
551,161
552,65
553,118
554,187
556,147
557,117
558,196
559,137
560,188
561,163
562,31
563,34
564,5
565,26
566,179
567,178
568,175
569,66
570,174
571,173
572,43
573,94
574,177
575,176
576,162
577,143
578,115
579,181
580,18
581,90
582,28
583,98
584,111
585,91
586,141
587,50
588,6
589,63
590,182
591,171
592,114
593,183
594,67
595,151
596,110
597,220
600,29
601,129
602,27
603,144
604,186
606,195
607,180
608,19
609,71
610,58
612,190
613,184
614,38
615,149
616,169
618,132
620,185
622,189
623,168
624,194
625,81
626,165
627,170
628,172
629,49
630,136
631,13
632,73
633,147
634,117
635,180
636,192
637,31
638,65
639,105
640,58
641,100
642,193
643,29
644,189
645,129
646,110
647,43
648,141
649,81
650,195
651,27
652,188
653,194
654,163
655,172
656,6
657,190
658,135
659,203
660,197
661,151
662,187
663,191
664,181
665,179
666,177
667,50
668,220
669,98
670,185
672,136
674,182
675,262
676,166
677,207
678,38
679,258
680,34
681,137
682,196
683,161
684,204
687,158
688,144
689,111
690,198
691,184
692,165
693,63
695,199
697,200
698,114
699,201
700,171
701,132
702,149
703,90
704,49
705,169
706,202
707,117
708,73
709,180
710,141
711,105
712,31
713,29
714,147
715,193
716,218
717,189
718,100
719,110
720,13
721,208
722,172
723,38
724,194
725,205
726,190
727,58
728,192
729,227
730,219
731,206
732,175
733,111
735,230
736,129
737,137
738,187
740,209
741,258
742,174
743,158
744,179
745,114
746,216
747,49
748,201
749,197
750,207
751,171
752,34
753,184
757,195
758,217
759,182
760,210
761,211
763,196
764,200
765,43
766,233
768,167
770,90
771,183
772,199
774,136
775,262
776,166
777,185
778,181
779,66
780,149
781,151
782,212
783,213
784,214
785,215
786,194
787,180
788,73
789,218
790,29
791,219
792,229
793,190
794,192
795,90
796,58
797,136
798,31
799,226
800,175
801,38
802,205
803,100
804,212
805,141
806,196
807,230
808,189
809,172
810,206
811,46
813,227
814,195
815,233
816,114
817,207
818,43
819,228
820,211
821,234
823,231
824,50
825,235
826,181
827,236
828,197
829,165
830,132
831,221
833,222
834,158
835,191
836,220
839,199
840,171
842,44
844,66
845,201
847,137
848,232
849,262
850,170
852,223
853,182
854,224
855,185
856,166
857,209
858,200
859,225
860,214
861,110
862,194
863,219
864,73
865,226
866,218
867,175
868,189
869,58
870,243
871,249
872,180
873,244
874,205
875,90
876,206
877,257
878,212
879,190
880,235
881,129
882,223
884,136
885,252
886,196
887,114
888,158
889,29
890,245
892,275
893,141
894,220
895,181
896,207
898,192
899,237
900,246
901,217
902,229
903,251
904,230
905,27
906,182
908,238
909,225
912,46
913,239
914,262
915,154
917,240
918,50
919,88
920,224
921,167
922,247
923,110
924,49
925,199
926,137
927,38
928,248
929,211
930,169
931,172
932,85
933,222
934,214
935,66
936,165
937,210
938,233
940,234
942,195
943,31
944,302
946,250
947,179
949,241
950,242
953,218
954,189
955,73
956,229
957,243
958,226
959,249
960,219
961,259
962,180
963,194
964,244
965,255
966,175
967,190
968,206
969,141
970,29
971,207
972,256
973,205
975,158
977,192
978,235
981,263
982,253
983,230
985,254
986,258
988,270
989,217
990,275
991,245
993,257
994,264
996,252
997,260
1001,195
1002,262
1004,261
1005,267
1010,269
1014,206
1015,249
1016,219
1017,244
1018,229
1019,218
1020,263
1021,243
1022,194
1023,254
1024,259
1025,256
1026,264
1027,257
1028,190
1029,226
1030,207
1031,192
1033,29
1034,255
1035,293
1037,252
1040,268
1043,230
1044,274
1045,269
1049,141
1051,217
1054,272
1056,258
1059,265
1060,231
1061,275
1063,266
1064,273
1065,290
1066,270
1067,267
1068,271
1069,260
1071,249
1072,206
1073,243
1074,244
1075,229
1076,219
1077,194
1078,263
1079,226
1080,256
1081,190
1082,278
1083,275
1084,207
1085,268
1086,254
1087,277
1088,276
1091,29
1092,279
1093,274
1094,293
1095,260
1096,218
1097,192
1100,280
1102,269
1103,282
1105,259
1106,257
1107,252
1109,90
1110,304
1111,230
1112,289
1113,291
1114,284
1116,290
1117,272
1118,364
1122,240
1126,273
1128,244
1129,206
1130,249
1131,256
1132,243
1133,229
1134,219
1135,194
1136,272
1137,268
1138,280
1139,282
1140,263
1141,226
1142,190
1143,276
1144,29
1146,218
1147,254
1148,279
1149,304
1150,259
1151,278
1152,277
1154,281
1156,298
1157,283
1158,292
1159,94
1161,207
1162,284
1164,285
1165,286
1166,249
1167,206
1168,287
1169,229
1170,244
1171,256
1172,243
1173,282
1174,219
1175,194
1176,297
1177,268
1178,292
1179,304
1180,298
1181,286
1182,190
1183,285
1184,192
1185,280
1186,226
1187,288
1188,300
1189,289
1190,284
1191,263
1193,252
1195,267
1196,290
1197,291
1198,276
1199,278
1200,279
1201,299
1203,293
1204,277
1205,259
1207,294
1208,295
1209,296
1210,194
1211,244
1212,292
1213,297
1214,206
1215,249
1216,287
1217,303
1218,256
1219,277
1220,243
1221,229
1222,282
1223,300
1224,268
1225,219
1226,272
1227,190
1228,280
1229,283
1230,305
1231,298
1232,276
1233,301
1235,306
1236,226
1237,304
1238,259
1239,302
1241,254
1242,297
1243,194
1244,249
1245,244
1246,276
1247,304
1248,206
1249,229
1250,287
1251,282
1252,293
1253,268
1254,292
1255,219
1256,190
1257,305
1258,280
1259,303
1260,316
1261,277
1262,301
1263,320
1264,314
1265,312
1266,311
1268,286
1270,307
1271,256
1272,309
1273,308
1274,290
1275,259
1278,310
1279,313
1285,206
1286,287
1287,297
1288,316
1289,219
1290,304
1291,268
1292,244
1293,314
1294,276
1295,249
1296,292
1297,286
1298,310
1299,320
1300,277
1301,252
1302,321
1303,319
1304,309
1305,229
1306,190
1307,194
1308,313
1309,325
1310,293
1313,315
1314,311
1316,290
1317,317
1322,322
1323,324
1324,318
1325,282
1326,307
1327,287
1328,316
1329,219
1330,292
1331,314
1332,297
1333,206
1334,309
1335,268
1336,194
1337,244
1338,276
1339,286
1340,321
1341,304
1342,313
1343,320
1344,310
1346,290
1347,323
1349,289
1350,326
1351,190
1352,322
