id,feature_class,feature_code,name,description
1,A,ADM1,first-order administrative division,"a primary administrative division of a country, such as a state in the United States"
2,A,ADM1H,historical first-order administrative division,a former first-order administrative division
3,A,ADM2,second-order administrative division,a subdivision of a first-order administrative division
4,A,ADM2H,historical second-order administrative division,a former second-order administrative division
5,A,ADM3,third-order administrative division,a subdivision of a second-order administrative division
6,A,ADM3H,historical third-order administrative division,a former third-order administrative division
7,A,ADM4,fourth-order administrative division,a subdivision of a third-order administrative division
8,A,ADM4H,historical fourth-order administrative division,a former fourth-order administrative division
9,A,ADM5,fifth-order administrative division,a subdivision of a fourth-order administrative division
10,A,ADM5H,historical fifth-order administrative division,a former fifth-order administrative division
11,A,ADMD,administrative division,"an administrative division of a country, undifferentiated as to administrative level"
12,A,ADMDH,historical administrative division,"a former administrative division of a political entity, undifferentiated as to administrative level"
13,A,ADMS,school district,school district
14,A,LTER,leased area,"a tract of land leased to another country, usually for military installations"
15,A,PCL,political entity,
16,A,PCLD,dependent political entity,
17,A,PCLF,freely associated state,
18,A,PCLH,historical political entity,a former political entity
19,A,PCLI,independent political entity,
20,A,PCLIX,section of independent political entity,
21,A,PCLS,semi-independent political entity,
22,A,PRSH,parish,an ecclesiastical district
23,A,TERR,territory,
24,A,ZN,zone,
25,A,ZNB,buffer zone,a zone recognized as a buffer between two nations in which military presence is minimal or absent
26,H,AIRS,seaplane landing area,a place on a waterbody where floatplanes land and take off
27,H,ANCH,anchorage,an area where vessels may anchor
28,H,BAY,bay,"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf"
29,H,BAYS,bays,"coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf"
30,H,BGHT,bight(s),an open body of water forming a slight recession in a coastline
31,H,BNK,bank(s),"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation"
32,H,BNKR,stream bank,a sloping margin of a stream channel which normally confines the stream to its channel on land
33,H,BNKX,section of bank,
34,H,BOG,bog(s),"a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants"
35,H,CAPG,icecap,a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet
36,H,CHN,channel,"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows"
37,H,CHNL,lake channel(s),"that part of a lake having water deep enough for navigation between islands, shoals, etc."
38,H,CHNM,marine channel,that part of a body of water deep enough for navigation through an area otherwise not suitable
39,H,CHNN,navigation channel,a buoyed channel of sufficient depth for the safe navigation of vessels
40,H,CNFL,confluence,a place where two or more streams or intermittent streams flow together
41,H,CNL,canal,an artificial watercourse
42,H,CNLA,aqueduct,a conduit used to carry water
43,H,CNLB,canal bend,a conspicuously curved or bent section of a canal
44,H,CNLD,drainage canal,an artificial waterway carrying water away from a wetland or from drainage ditches
45,H,CNLI,irrigation canal,a canal which serves as a main conduit for irrigation water
46,H,CNLN,navigation canal(s),a watercourse constructed for navigation of vessels
47,H,CNLQ,abandoned canal,
48,H,CNLSB,underground irrigation canal(s),a gently inclined underground tunnel bringing water for irrigation from aquifers
49,H,CNLX,section of canal,
50,H,COVE,cove(s),"a small coastal indentation, smaller than a bay"
51,H,CRKT,tidal creek(s),a meandering channel in a coastal wetland subject to bi-directional tidal currents
52,H,CRNT,current,a horizontal flow of water in a given direction with uniform velocity
53,H,CUTF,cutoff,a channel formed as a result of a stream cutting through a meander neck
54,H,DCK,dock(s),"a waterway between two piers, or cut into the land for the berthing of ships"
55,H,DCKB,docking basin,a part of a harbor where ships dock
56,H,DOMG,icecap dome,a comparatively elevated area on an icecap
57,H,DPRG,icecap depression,a comparatively depressed area on an icecap
58,H,DTCH,ditch,a small artificial watercourse dug for draining or irrigating the land
59,H,DTCHD,drainage ditch,a ditch which serves to drain the land
60,H,DTCHI,irrigation ditch,a ditch which serves to distribute irrigation water
61,H,DTCHM,ditch mouth(s),"an area where a drainage ditch enters a lagoon, lake or bay"
62,H,ESTY,estuary,a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences
63,H,FISH,fishing area,"a fishing ground, bank or area where fishermen go to catch fish"
64,H,FJD,fjord,"a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts"
65,H,FJDS,fjords,"long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts"
66,H,FLLS,waterfall(s),a perpendicular or very steep descent of the water of a stream
67,H,FLLSX,section of waterfall(s),
68,H,FLTM,mud flat(s),"a relatively level area of mud either between high and low tide lines, or subject to flooding"
69,H,FLTT,tidal flat(s),a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide
70,H,GLCR,glacier(s),"a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses"
71,H,GULF,gulf,"a large recess in the coastline, larger than a bay"
72,H,GYSR,geyser,a type of hot spring with intermittent eruptions of jets of hot water and steam
73,H,HBR,harbor(s),a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships
74,H,HBRX,section of harbor,
75,H,INLT,inlet,"a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water"
76,H,INLTQ,former inlet,"an inlet which has been filled in, or blocked by deposits"
77,H,LBED,lake bed(s),a dried up or drained area of a former lake
78,H,LGN,lagoon,"a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature"
79,H,LGNS,lagoons,"shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature"
80,H,LGNX,section of lagoon,
81,H,LK,lake,a large inland body of standing water
82,H,LKC,crater lake,a lake in a crater or caldera
83,H,LKI,intermittent lake,
84,H,LKN,salt lake,an inland body of salt water with no outlet
85,H,LKNI,intermittent salt lake,
86,H,LKO,oxbow lake,a crescent-shaped lake commonly found adjacent to meandering streams
87,H,LKOI,intermittent oxbow lake,
88,H,LKS,lakes,large inland bodies of standing water
89,H,LKSB,underground lake,a standing body of water in a cave
