id,iso_639_3,iso_639_2,iso_639_1,language_id
1,,afa,,1
2,,alg,,2
3,,apa,,3
4,,art,,4
5,,ath,,5
6,,aus,,6
7,,bad,,7
8,,bai,,8
9,,bat,,9
10,,ber,,10
11,,bih,bh,11
12,,bnt,,12
13,,btk,,13
14,,cai,,14
15,,cau,,15
16,,cel,,16
17,,cmc,,17
18,,cpe,,18
19,,cpf,,19
20,,cpp,,20
21,,crp,,21
22,,cus,,22
23,,day,,23
24,,dra,,24
25,,fiu,,25
26,frr,,,26
27,,gem,,27
28,,him,,28
29,,ijo,,29
30,,inc,,30
31,,ine,,31
32,,ira,,32
33,,iro,,33
34,,kar,,34
35,,khi,,35
36,,kro,,36
37,,map,,37
38,,mkh,,38
39,,mno,,39
40,,mun,,40
41,,myn,,41
42,,nah,,42
43,,nai,,43
44,,nic,,44
45,,nub,,45
46,,oto,,46
47,,paa,,47
48,,phi,,48
49,,pra,,49
50,,roa,,50
51,,rup,,51
52,,sai,,52
53,,sal,,53
54,,sem,,54
55,,sgn,,55
56,,sio,,56
57,,sit,,57
58,,sla,,58
59,,smi,,59
60,,son,,60
61,srn,,,61
62,,ssa,,62
63,syc,,,63
64,,tai,,64
65,,tup,,65
66,,tut,,66
67,,wak,,67
68,,wen,,68
69,,ypk,,69
70,,znd,,70
71,aaa,,,71
72,aab,,,72
73,aac,,,73
74,aad,,,74
75,aae,,,75
76,aaf,,,76
77,aag,,,77
78,aah,,,78
79,aai,,,79
80,aak,,,80
81,aal,,,81
82,aan,,,82
83,aao,,,83
84,aap,,,84
85,aaq,,,85
86,aar,aar,aa,86
87,aas,,,87
88,aat,,,88
89,aau,,,89
90,aaw,,,90
91,aax,,,91
92,aaz,,,92
93,aba,,,93
94,abb,,,94
95,abc,,,95
96,abd,,,96
97,abe,,,97
98,abf,,,98
99,abg,,,99
100,abh,,,100
101,abi,,,101
102,abj,,,102
103,abk,abk,ab,103
104,abl,,,104
105,abm,,,105
106,abn,,,106
107,abo,,,107
108,abp,,,108
109,abq,,,109
110,abr,,,110
111,abs,,,111
112,abt,,,112
113,abu,,,113
114,abv,,,114
115,abw,,,115
116,abx,,,116
117,aby,,,117
118,abz,,,118
119,aca,,,119
