id,race_id,driver_id,constructor_id,position,q1,q2,q3
1,549,438,108,1,00:01:15.962,,
2,549,481,127,2,00:01:16.290,,
3,549,466,6,3,00:01:17.385,,
4,549,490,108,4,00:01:17.554,,
5,549,497,140,5,00:01:17.806,,
6,549,472,138,6,00:01:17.866,,
7,549,484,140,7,00:01:17.927,,
8,549,477,95,8,00:01:18.122,,
9,549,496,127,9,00:01:18.183,,
10,549,482,94,10,00:01:18.194,,
11,549,483,138,11,00:01:18.204,,
12,549,478,94,12,00:01:18.246,,
13,549,479,129,13,00:01:18.321,,
14,549,487,137,14,00:01:18.414,,
15,549,442,125,15,00:01:18.659,,
16,549,495,137,16,00:01:18.751,,
17,549,441,6,17,00:01:18.855,,
18,549,433,95,18,00:01:18.864,,
19,549,494,115,19,00:01:19.304,,
20,549,467,115,20,00:01:19.398,,
21,549,461,48,21,00:01:19.483,,
22,549,419,125,22,00:01:19.517,,
23,549,498,129,23,00:01:19.524,,
24,549,493,48,24,00:01:19.975,,
25,549,476,142,25,00:01:20.729,,
26,549,475,141,26,00:01:21.186,,
27,550,438,108,1,00:01:10.218,,
28,550,481,127,2,00:01:10.440,,
29,550,490,108,3,00:01:10.771,,
30,550,477,95,4,00:01:11.683,,
31,550,441,6,5,00:01:11.744,,
32,550,433,95,6,00:01:12.351,,
33,550,460,6,7,00:01:12.372,,
34,550,487,137,8,00:01:12.409,,
35,550,483,138,9,00:01:12.444,,
36,550,496,127,10,00:01:12.554,,
37,550,497,140,11,00:01:12.686,,
38,550,478,94,12,00:01:12.751,,
39,550,472,138,13,00:01:12.866,,
40,550,482,94,14,00:01:13.013,,
41,550,419,125,15,00:01:13.016,,
42,550,479,129,16,00:01:13.111,,
43,550,442,125,17,00:01:13.529,,
44,550,467,115,18,00:01:13.613,,
45,550,484,140,19,00:01:13.855,,
46,550,469,137,20,00:01:13.932,,
47,550,498,129,21,00:01:14.101,,
48,550,494,115,22,00:01:14.106,,
49,550,461,48,23,00:01:14.424,,
50,550,493,48,24,00:01:14.657,,
51,550,475,141,25,00:01:14.748,,
52,550,499,141,26,00:01:16.536,,
53,551,438,108,1,00:01:21.548,,
54,551,481,127,2,00:01:21.885,,
55,551,441,6,3,00:01:22.113,,
56,551,490,108,4,00:01:22.168,,
57,551,473,127,5,00:01:22.717,,
58,551,460,6,6,00:01:22.841,,
59,551,497,140,7,00:01:23.119,,
60,551,477,95,8,00:01:23.140,,
61,551,482,94,9,00:01:23.322,,
62,551,484,140,10,00:01:23.347,,
63,551,472,138,11,00:01:23.663,,
64,551,478,94,12,00:01:23.703,,
65,551,433,95,13,00:01:23.858,,
66,551,442,125,14,00:01:24.078,,
67,551,419,125,15,00:01:24.276,,
68,551,483,138,16,00:01:24.472,,
69,551,467,115,17,00:01:24.678,,
70,551,479,129,18,00:01:24.852,,
71,551,494,115,19,00:01:24.996,,
72,551,461,48,20,00:01:25.114,,
73,551,414,137,21,00:01:25.234,,
74,551,493,48,22,00:01:25.295,,
75,551,498,129,23,00:01:25.991,,
76,551,475,141,24,00:01:26.817,,
77,551,476,142,25,00:01:27.143,,
78,551,499,141,26,00:01:27.584,,
79,551,486,142,27,00:01:27.881,,
80,551,487,137,28,,,
81,553,481,127,1,00:01:21.908,,
82,553,490,108,2,00:01:22.559,,
83,553,477,95,3,00:01:22.660,,
84,553,473,127,4,00:01:22.983,,
85,553,487,137,5,00:01:23.594,,
86,553,466,6,6,00:01:23.700,,
87,553,441,6,7,00:01:23.715,,
88,553,433,95,8,00:01:23.763,,
89,553,500,108,9,00:01:23.782,,
90,553,482,94,10,00:01:23.969,,
91,553,478,94,11,00:01:23.981,,
92,553,497,140,12,00:01:24.254,,
93,553,495,137,13,00:01:24.930,,
94,553,419,125,14,00:01:24.996,,
95,553,472,138,15,00:01:25.018,,
96,553,479,129,16,00:01:25.050,,
97,553,498,129,17,00:01:25.161,,
98,553,442,125,18,00:01:25.247,,
99,553,494,115,19,00:01:25.577,,
100,553,467,115,20,00:01:25.766,,
101,565,490,108,1,00:01:20.081,,
102,565,481,127,2,00:01:20.382,,
103,565,500,108,3,00:01:20.422,,
104,565,461,127,4,00:01:20.888,,
105,565,441,6,5,00:01:20.906,,
106,565,466,6,6,00:01:21.041,,
107,565,477,95,7,00:01:21.399,,
108,565,495,137,8,00:01:21.749,,
109,565,478,95,9,00:01:21.779,,
110,565,494,115,10,00:01:21.914,,
111,565,482,94,11,00:01:22.325,,
112,565,501,94,12,00:01:22.416,,
113,565,472,138,13,00:01:22.468,,
114,565,497,140,14,00:01:22.872,,
115,565,469,115,15,00:01:22.971,,
116,565,487,137,16,00:01:22.975,,
117,565,442,125,17,00:01:24.383,,
118,565,489,125,18,00:01:24.443,,
119,565,484,140,19,00:01:24.723,,
120,565,476,142,20,00:01:25.127,,
121,565,504,138,21,00:01:25.225,,
122,565,502,142,22,00:01:25.886,,
123,565,464,143,23,00:01:26.269,,
124,565,496,141,24,00:01:27.323,,
125,565,503,143,25,00:01:27.792,,
126,565,505,141,26,00:01:28.106,,
127,566,500,108,1,00:01:53.241,,
128,566,490,108,2,00:01:54.057,,
129,566,481,127,3,00:01:54.272,,
130,566,495,137,4,00:01:54.381,,
131,566,477,95,5,00:01:54.529,,
132,566,466,6,6,00:01:54.637,,
133,566,501,94,7,00:01:54.757,,
134,566,441,6,8,00:01:55.276,,
135,566,497,140,9,00:01:55.583,,
136,566,487,137,10,00:01:56.114,,
137,566,461,127,11,00:01:57.068,,
138,566,472,138,12,00:01:57.092,,
139,566,489,125,13,00:01:57.167,,
140,566,496,141,14,00:01:57.231,,
141,566,482,94,15,00:01:57.484,,
142,566,442,125,16,00:01:58.066,,
143,566,478,95,17,00:01:58.660,,
144,566,494,115,18,00:01:58.824,,
145,566,469,115,19,00:01:58.882,,
146,566,505,141,20,00:01:59.539,,
147,566,484,140,21,00:02:00.751,,
148,566,502,142,22,00:02:01.763,,
149,566,476,142,23,00:02:04.050,,
150,566,464,143,24,00:02:04.481,,
151,566,503,143,25,00:02:05.932,,
152,566,504,138,26,00:02:07.298,,
153,567,481,127,1,00:01:27.274,,
154,567,441,6,2,00:01:27.282,,
155,567,500,108,3,00:01:27.459,,
156,567,490,108,4,00:01:27.512,,
157,567,466,6,5,00:01:27.813,,
158,567,477,95,6,00:01:28.343,,
159,567,495,137,7,00:01:28.516,,
160,567,461,127,8,00:01:29.350,,
161,567,413,95,9,00:01:29.517,,
162,567,487,137,10,00:01:29.551,,
163,567,472,138,11,00:01:29.582,,
164,567,494,115,12,00:01:30.760,,
165,567,501,94,13,00:01:31.035,,
166,567,497,140,14,00:01:31.358,,
167,567,482,94,15,00:01:31.630,,
168,567,469,115,16,00:01:31.913,,
169,567,496,141,17,00:01:32.156,,
170,567,442,125,18,00:01:32.445,,
171,567,504,138,19,00:01:32.710,,
172,567,489,125,20,00:01:33.071,,
173,567,484,140,21,00:01:33.494,,
174,567,476,142,22,00:01:33.892,,
175,567,505,141,23,00:01:33.965,,
176,567,502,142,24,00:01:35.169,,
177,567,464,143,25,00:01:36.065,,
178,567,503,143,26,00:01:36.624,,
179,568,481,127,1,00:01:21.452,,
180,568,466,6,2,00:01:22.052,,
181,568,441,6,3,00:01:22.071,,
182,568,500,108,4,00:01:22.332,,
183,568,490,108,5,00:01:22.349,,
184,568,495,137,6,00:01:23.352,,
185,568,461,127,7,00:01:23.536,,
186,568,487,137,8,00:01:23.705,,
187,568,477,95,9,00:01:23.833,,
188,568,413,95,10,00:01:23.927,,
189,568,433,115,11,00:01:24.727,,
190,568,497,140,12,00:01:24.802,,
191,568,501,94,13,00:01:24.971,,
192,568,472,138,14,00:01:25.053,,
193,568,494,115,15,00:01:25.204,,
194,568,496,141,16,00:01:25.827,,
195,568,482,94,17,00:01:25.946,,
196,568,504,138,18,00:01:26.059,,
197,568,442,125,19,00:01:26.619,,
198,568,484,140,20,00:01:27.007,,
199,568,489,125,21,00:01:27.345,,
200,568,505,141,22,00:01:27.575,,
201,582,506,108,1,00:01:32.371,,
202,582,490,108,2,00:01:32.509,,
203,582,495,6,3,00:01:32.889,,
204,582,481,6,4,00:01:33.125,,
205,582,477,95,5,00:01:34.054,,
206,582,466,127,6,00:01:34.257,,
207,582,441,127,7,00:01:34.344,,
208,582,487,137,8,00:01:34.474,,
209,582,497,140,9,00:01:34.494,,
210,582,501,94,10,00:01:34.832,,
211,582,494,115,11,00:01:35.330,,
212,582,496,138,12,00:01:35.338,,
213,582,500,95,13,00:01:35.351,,
214,582,461,140,14,00:01:35.453,,
215,582,482,94,15,00:01:35.715,,
216,582,508,125,16,00:01:35.898,,
217,582,493,125,17,00:01:36.109,,
218,582,507,138,18,00:01:36.198,,
219,582,433,137,19,00:01:36.286,,
220,582,503,115,20,00:01:36.298,,
221,583,490,108,1,00:01:18.111,,
222,583,487,137,2,00:01:19.092,,
223,583,506,108,3,00:01:19.254,,
224,583,481,6,4,00:01:19.474,,
225,583,466,127,5,00:01:19.484,,
226,583,433,137,6,00:01:19.519,,
227,583,477,95,7,00:01:19.607,,
228,583,441,127,8,00:01:19.762,,
229,583,497,140,9,00:01:19.799,,
230,583,495,6,10,00:01:19.951,,
231,583,501,94,11,00:01:20.000,,
232,583,461,140,12,00:01:20.144,,
233,583,496,138,13,00:01:20.157,,
234,583,500,95,14,00:01:20.167,,
235,583,494,115,15,00:01:20.426,,
236,583,482,94,16,00:01:20.427,,
237,583,507,138,17,00:01:20.440,,
238,583,493,125,18,00:01:21.491,,
239,583,489,143,19,00:01:23.174,,
240,583,502,143,20,00:01:23.454,,
241,583,509,125,21,,,
242,583,503,115,22,,,
243,584,490,108,1,00:01:30.346,,
244,584,481,6,2,00:01:30.598,,
245,584,506,108,3,00:01:30.907,,
246,584,466,127,4,00:01:31.038,,
247,584,441,127,5,00:01:31.262,,
248,584,487,137,6,00:01:31.404,,
249,584,496,138,7,00:01:31.615,,
250,584,477,95,8,00:01:31.801,,
251,584,500,95,9,00:01:32.001,,
252,584,495,6,10,00:01:32.058,,
253,584,497,140,11,00:01:32.130,,
254,584,494,115,12,00:01:32.177,,
255,584,482,94,13,00:01:32.407,,
256,584,509,125,14,00:01:32.502,,
257,584,433,137,15,00:01:32.696,,
258,584,501,94,16,00:01:32.903,,
259,584,461,140,17,00:01:33.256,,
260,584,503,115,18,00:01:33.424,,
261,584,493,125,19,00:01:33.727,,
262,584,507,138,20,00:01:33.752,,
263,584,489,143,21,00:01:34.830,,
264,584,502,143,22,00:01:35.651,,
265,585,490,108,1,00:01:18.941,,
266,585,506,108,2,00:01:19.721,,
267,585,481,6,3,00:01:20.149,,
268,585,466,127,4,00:01:20.711,,
269,585,487,137,5,00:01:20.818,,
270,585,500,95,6,00:01:20.888,,
271,585,495,6,7,00:01:20.931,,
272,585,441,127,8,00:01:21.054,,
273,585,477,95,9,00:01:21.078,,
274,585,497,140,10,00:01:21.113,,
275,585,433,137,11,00:01:21.177,,
276,585,461,140,12,00:01:21.210,,
277,585,496,138,13,00:01:21.367,,
278,585,501,94,14,00:01:21.458,,
279,585,494,115,15,00:01:21.509,,
280,585,482,94,16,00:01:21.812,,
281,585,503,115,17,00:01:22.733,,
282,585,508,125,18,00:01:22.921,,
283,585,493,125,19,00:01:23.139,,
284,585,507,138,20,00:01:23.620,,
285,586,481,6,1,00:01:26.890,,
286,586,490,108,2,00:01:27.105,,
287,586,506,108,3,00:01:27.220,,
288,586,500,95,4,00:01:27.688,,
289,586,466,127,5,00:01:28.009,,
290,586,495,6,6,00:01:28.205,,
291,586,441,127,7,00:01:28.336,,
292,586,501,94,8,00:01:28.423,,
293,586,487,137,9,00:01:28.632,,
294,586,497,140,10,00:01:28.785,,
295,586,477,95,11,00:01:29.079,,
296,586,433,137,12,00:01:29.099,,
297,586,494,115,13,00:01:29.472,,
298,586,496,138,14,00:01:29.539,,
299,586,461,140,15,00:01:29.541,,
300,586,482,94,16,00:01:29.892,,
301,598,506,108,1,00:01:29.369,,
302,598,497,108,2,00:01:31.123,,
303,598,481,6,3,00:01:31.472,,
304,598,500,95,4,00:01:31.531,,
305,598,495,6,5,00:01:31.881,,
306,598,477,95,6,00:01:31.971,,
307,598,461,140,7,00:01:32.287,,
308,598,466,127,8,00:01:32.593,,
309,598,494,144,9,00:01:32.842,,
310,598,441,127,10,00:01:32.870,,
311,598,487,145,11,00:01:33.075,,
312,598,513,137,12,00:01:33.130,,
313,598,460,140,13,00:01:33.327,,
314,598,508,137,14,00:01:33.552,,
315,598,482,125,15,00:01:33.798,,
316,598,510,144,16,00:01:33.989,,
317,598,511,125,17,00:01:34.120,,
318,598,501,94,18,00:01:34.229,,
319,598,512,145,19,00:01:34.623,,
320,598,490,118,20,00:01:34.806,,
321,598,496,94,21,00:01:34.943,,
322,598,503,118,22,00:01:35.972,,
323,599,506,108,1,00:01:16.004,,
324,599,481,6,2,00:01:16.594,,
325,599,441,127,3,00:01:16.644,,
326,599,477,95,4,00:01:16.692,,
327,599,494,144,5,00:01:16.756,,
328,599,466,127,6,00:01:16.757,,
329,599,508,137,7,00:01:16.912,,
330,599,497,108,8,00:01:16.971,,
331,599,490,118,9,00:01:17.090,,
332,599,513,137,10,00:01:17.175,,
333,599,487,145,11,00:01:17.259,,
334,599,500,95,12,00:01:17.262,,
335,599,461,140,13,00:01:17.409,,
336,599,495,6,14,00:01:17.527,,
337,599,510,144,15,00:01:17.999,,
338,599,503,118,16,00:01:18.095,,
339,599,511,125,17,00:01:18.336,,
340,599,482,125,18,00:01:18.557,,
341,599,460,140,19,00:01:18.644,,
342,599,512,145,20,00:01:18.773,,
343,599,496,94,21,00:01:18.885,,
344,599,501,94,22,00:01:19.274,,
345,600,506,108,1,00:01:24.473,,
346,600,497,108,2,00:01:25.271,,
347,600,494,144,3,00:01:25.491,,
348,600,481,6,4,00:01:25.773,,
349,600,487,145,5,00:01:25.942,,
350,600,513,137,6,00:01:26.218,,
351,600,495,6,7,00:01:26.327,,
352,600,461,140,8,00:01:26.564,,
353,600,508,137,9,00:01:26.619,,
354,600,500,95,10,00:01:26.799,,
355,600,466,127,11,00:01:27.076,,
356,600,441,127,12,00:01:27.259,,
357,600,490,118,13,00:01:27.281,,
358,600,460,140,14,00:01:27.690,,
359,600,512,145,15,00:01:28.035,,
360,600,496,94,16,00:01:28.094,,
361,600,477,95,17,00:01:28.135,,
362,600,511,125,18,00:01:28.160,,
363,600,501,94,19,00:01:28.224,,
364,600,510,144,20,00:01:28.366,,
365,600,482,125,21,00:01:28.413,,
366,600,503,118,22,00:01:28.696,,
367,601,506,108,1,00:01:23.303,,
368,601,497,108,2,00:01:23.646,,
369,601,481,6,3,00:01:23.955,,
370,601,494,144,4,00:01:24.075,,
371,601,513,137,5,00:01:24.081,,
372,601,508,137,6,00:01:24.596,,
373,601,461,140,7,00:01:24.723,,
374,601,477,95,8,00:01:24.812,,
375,601,495,6,9,00:01:24.862,,
376,601,500,95,10,00:01:25.077,,
377,601,441,127,11,00:01:25.371,,
378,601,460,140,12,00:01:25.554,,
379,601,487,145,13,00:01:25.579,,
380,601,466,127,14,00:01:25.729,,
381,601,490,118,15,00:01:25.743,,
382,601,512,145,16,00:01:26.192,,
383,601,503,118,17,00:01:26.253,,
384,601,510,144,18,00:01:26.712,,
385,601,501,94,19,00:01:26.852,,
386,601,511,125,20,00:01:26.960,,
387,601,496,94,21,00:01:27.428,,
388,601,482,125,22,00:01:28.727,,
389,602,497,108,1,00:01:18.216,,
390,602,481,6,2,00:01:18.235,,
391,602,506,108,3,00:01:18.583,,
392,602,508,137,4,00:01:18.665,,
393,602,500,95,5,00:01:18.779,,
