id,race_id,driver_id,constructor_id,grid,position,position_order,points,laps,status_id
1,1,1,1,1,1,1,9.0,70,1
2,1,2,1,2,2,2,6.0,70,1
3,1,3,1,4,3,3,4.0,70,1
4,1,4,2,6,4,4,3.0,68,2
5,1,5,2,9,5,5,2.0,68,2
6,1,6,3,13,6,6,0.0,67,3
7,1,7,3,15,7,7,0.0,67,3
8,1,8,2,14,8,8,0.0,65,4
9,1,9,4,16,9,9,0.0,64,5
10,1,10,4,20,10,10,0.0,64,5
11,1,11,4,20,10,10,0.0,64,5
12,1,12,2,21,11,11,0.0,64,5
13,2,13,1,1,1,1,9.0,100,1
14,2,24,6,7,2,2,6.0,99,15
15,2,19,4,8,3,3,4.0,98,2
16,2,25,6,9,4,4,3.0,97,3
17,2,15,4,15,5,5,2.0,95,4
18,2,6,3,16,6,6,0.0,94,5
19,2,12,2,19,7,7,0.0,94,5
20,3,34,9,5,1,1,9.0,138,1
21,3,35,10,10,2,2,6.0,137,15
22,3,36,10,3,3,3,4.0,137,15
23,3,37,9,12,4,4,3.0,137,15
24,3,38,9,9,5,5,1.0,136,2
25,3,39,9,9,5,5,1.0,136,2
26,3,40,11,23,6,6,0.0,136,2
27,3,41,9,1,7,7,0.0,135,3
28,3,42,12,4,8,8,0.0,135,3
29,3,43,13,19,9,9,0.0,135,3
30,3,44,9,11,10,10,0.0,135,3
31,3,45,14,16,11,11,0.0,133,4
32,3,46,15,13,12,12,0.0,133,4
33,3,47,9,26,13,13,0.0,132,5
34,3,48,9,6,14,14,0.0,131,19
35,3,49,12,24,15,15,0.0,130,20
36,3,50,16,31,16,16,0.0,128,21
37,3,51,17,27,17,17,0.0,128,21
38,3,52,9,33,18,18,0.0,128,21
39,3,53,9,20,19,19,0.0,127,22
40,3,54,4,14,20,20,0.0,126,23
41,3,55,9,15,21,21,0.0,125,24
42,3,56,18,29,22,22,0.0,123,25
43,3,57,19,30,23,23,0.0,123,19
44,3,58,20,28,24,24,0.0,122,26
45,4,1,1,2,1,1,9.0,42,1
46,4,2,1,3,2,2,6.0,42,1
47,4,5,2,10,3,3,4.0,41,15
48,4,15,4,8,4,4,3.0,40,2
49,4,68,4,12,5,5,2.0,40,2
50,4,18,4,11,6,6,0.0,40,2
51,4,69,4,15,7,7,0.0,39,3
52,4,31,2,18,8,8,0.0,39,3
53,4,19,4,16,9,9,0.0,39,3
54,4,12,2,14,10,10,0.0,38,30
